Postcode,State,Tier
800,NT,B
810,NT,B
812,NT,B
815,NT,B
820,NT,B
822,NT,C
828,NT,C
829,NT,C
830,NT,C
832,NT,C
834,NT,C
835,NT,C
836,NT,C
837,NT,C
838,NT,C
839,NT,C
840,NT,C
841,NT,C
845,NT,C
846,NT,C
847,NT,C
850,NT,C
852,NT,C
853,NT,C
854,NT,C
860,NT,C
862,NT,C
870,NT,C
872,NT,C
873,NT,C
874,NT,C
875,NT,C
880,NT,C
885,NT,C
886,NT,C
2000,NSW,A
2006,NSW,B
2007,NSW,B
2008,NSW,B
2009,NSW,A
2010,NSW,B
2011,NSW,B
2015,NSW,B
2016,NSW,B
2017,NSW,B
2018,NSW,B
2019,NSW,B
2020,NSW,B
2021,NSW,B
2022,NSW,B
2023,NSW,B
2024,NSW,B
2025,NSW,B
2026,NSW,B
2027,NSW,B
2028,NSW,B
2029,NSW,B
2030,NSW,B
2031,NSW,B
2032,NSW,B
2033,NSW,B
2034,NSW,B
2035,NSW,B
2036,NSW,B
2037,NSW,B
2038,NSW,B
2039,NSW,B
2040,NSW,B
2041,NSW,B
2042,NSW,B
2043,NSW,B
2044,NSW,B
2045,NSW,B
2046,NSW,B
2047,NSW,B
2048,NSW,B
2049,NSW,B
2050,NSW,B
2052,NSW,B
2060,NSW,A
2061,NSW,B
2062,NSW,B
2063,NSW,B
2064,NSW,B
2065,NSW,B
2066,NSW,B
2067,NSW,B
2068,NSW,B
2069,NSW,B
2070,NSW,B
2071,NSW,B
2072,NSW,B
2073,NSW,B
2074,NSW,B
2075,NSW,B
2076,NSW,B
2077,NSW,B
2079,NSW,B
2080,NSW,B
2081,NSW,B
2082,NSW,B
2083,NSW,C
2084,NSW,C
2085,NSW,B
2086,NSW,B
2087,NSW,B
2088,NSW,B
2089,NSW,B
2090,NSW,B
2092,NSW,B
2093,NSW,B
2094,NSW,B
2095,NSW,B
2096,NSW,B
2097,NSW,B
2099,NSW,B
2100,NSW,B
2101,NSW,B
2102,NSW,B
2103,NSW,B
2104,NSW,B
2105,NSW,B
2106,NSW,B
2107,NSW,B
2108,NSW,B
2109,NSW,B
2110,NSW,B
2111,NSW,B
2112,NSW,B
2113,NSW,B
2114,NSW,B
2115,NSW,B
2116,NSW,B
2117,NSW,B
2118,NSW,B
2119,NSW,B
2120,NSW,B
2121,NSW,B
2122,NSW,B
2125,NSW,B
2126,NSW,B
2127,NSW,B
2128,NSW,B
2129,NSW,B
2130,NSW,B
2131,NSW,B
2132,NSW,B
2133,NSW,B
2134,NSW,B
2135,NSW,B
2136,NSW,B
2137,NSW,B
2138,NSW,B
2139,NSW,B
2140,NSW,B
2141,NSW,B
2142,NSW,B
2143,NSW,B
2144,NSW,B
2145,NSW,B
2146,NSW,B
2147,NSW,B
2148,NSW,B
2150,NSW,B
2151,NSW,B
2152,NSW,B
2153,NSW,B
2154,NSW,B
2155,NSW,B
2156,NSW,B
2157,NSW,C
2158,NSW,C
2159,NSW,C
2160,NSW,B
2161,NSW,B
2162,NSW,B
2163,NSW,B
2164,NSW,B
2165,NSW,B
2166,NSW,B
2167,NSW,B
2168,NSW,B
2170,NSW,B
2171,NSW,B
2172,NSW,B
2173,NSW,B
2174,NSW,B
2175,NSW,B
2176,NSW,B
2177,NSW,B
2178,NSW,C
2179,NSW,B
2190,NSW,B
2191,NSW,B
2192,NSW,B
2193,NSW,B
2194,NSW,B
2195,NSW,B
2196,NSW,B
2197,NSW,B
2198,NSW,B
2199,NSW,B
2200,NSW,B
2203,NSW,B
2204,NSW,B
2205,NSW,B
2206,NSW,B
2207,NSW,B
2208,NSW,B
2209,NSW,B
2210,NSW,B
2211,NSW,B
2212,NSW,B
2213,NSW,B
2214,NSW,B
2216,NSW,B
2217,NSW,B
2218,NSW,B
2219,NSW,B
2220,NSW,B
2221,NSW,B
2222,NSW,B
2223,NSW,B
2224,NSW,B
2225,NSW,B
2226,NSW,B
2227,NSW,B
2228,NSW,B
2229,NSW,B
2230,NSW,B
2231,NSW,B
2232,NSW,B
2233,NSW,C
2234,NSW,B
2250,NSW,C
2251,NSW,B
2256,NSW,B
2257,NSW,B
2258,NSW,C
2259,NSW,C
2260,NSW,B
2261,NSW,B
2262,NSW,B
2263,NSW,B
2264,NSW,C
2265,NSW,C
2267,NSW,B
2278,NSW,C
2280,NSW,B
2281,NSW,B
2282,NSW,B
2283,NSW,B
2284,NSW,B
2285,NSW,B
2286,NSW,C
2287,NSW,B
2289,NSW,B
2290,NSW,B
2291,NSW,B
2292,NSW,B
2293,NSW,B
2294,NSW,B
2295,NSW,B
2296,NSW,B
2297,NSW,B
